level,wood,clay,stone,crop,crop con.,time,cp,total,res/cp,time/cp,cp_delta,name,level,eff. Res/cp
1,180,130,150,80,3,0 days 00:33:20,5,540,108,0 days 00:06:40,5,Embassy,1,108
1,40,50,30,10,0,0 days 00:12:30,1,130,130,0 days 00:12:30,1,Cranny,1,130
2,90,50,75,25,1,0 days 00:43:40,3,240,240,0 days 00:43:40,1,Main Building,2,179
3,115,65,100,35,1,0 days 00:55:40,3,315,,,0,Main Building,3,179
1,80,70,120,70,4,0 days 00:30:00,4,340,85,0 days 00:07:30,4,Marketplace,1,179
1,70,90,70,20,0,0 days 00:02:30,1,250,250,0 days 00:02:30,1,Cropland,1,250
1,80,40,80,50,2,0 days 00:03:40,1,250,250,0 days 00:03:40,1,Clay Pit,1,250
1,40,100,50,60,2,0 days 00:04:32,1,250,250,0 days 00:04:32,1,Woodcutter,1,250
1,100,80,30,60,3,0 days 00:02:30,1,270,270,0 days 00:02:30,1,Iron Mine,1,270
2,50,65,40,15,0,0 days 00:19:30,1,170,,,0,Cranny,2,380
3,65,80,50,15,0,0 days 00:27:40,2,210,210,0 days 00:27:40,1,Cranny,3,380
4,145,85,125,40,1,0 days 01:09:30,4,395,395,0 days 01:09:30,1,Main Building,4,395
1,70,90,170,70,0,0 days 00:33:20,1,400,400,0 days 00:33:20,1,Wall,1,400
5,190,105,160,55,1,0 days 01:25:40,5,510,510,0 days 01:25:40,1,Main Building,5,408.5714286
1,550,800,750,250,1,0 days 01:23:20,6,2350,391.6666667,0 days 00:13:53,6,Palace,1,408.5714286
1,110,160,90,70,1,0 days 00:33:20,1,430,430,0 days 00:33:20,1,Rally Point,1,430
1,210,140,260,120,4,0 days 00:31:00,1,730,730,0 days 00:31:00,1,Barracks,1,482.1428571
2,270,180,335,155,2,0 days 00:40:30,1,940,,,0,Barracks,2,482.1428571
3,345,230,425,195,2,0 days 00:51:40,2,1195,1195,0 days 00:51:40,1,Barracks,3,482.1428571
1,220,160,90,40,4,0 days 00:31:00,5,510,102,0 days 00:06:12,5,Academy,1,482.1428571
1,180,250,500,160,4,0 days 02:46:40,2,1090,545,0 days 01:23:20,2,Smithy,1,545
